,bed,bath,sqft,type,lanudry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/sby/apa/d/2-bedroom-2-bathroom-ready/6567705426.html,2BR , 2Ba,1061ft2,apartment,5,5,1,1,0,0,0,9,356,https://sfbay.craigslist.org/sby/apa/d/2-bedroom-2-bathroom-ready/6567705426.html
https://sfbay.craigslist.org/sby/apa/d/2-bedroom-available-for/6567582324.html,2BR , 2Ba,850ft2,apartment,2,4,1,1,0,0,0,6,219,https://sfbay.craigslist.org/sby/apa/d/2-bedroom-available-for/6567582324.html
https://sfbay.craigslist.org/sby/apa/d/2-beds-1-bath-next-to-apple/6565239915.html,2BR , 1Ba,850ft2,apartment,4,4,0,0,0,1,0,10,192,https://sfbay.craigslist.org/sby/apa/d/2-beds-1-bath-next-to-apple/6565239915.html
https://sfbay.craigslist.org/sby/apa/d/2-story-townhome-2-extra/6549526618.html,2BR , 2.5Ba,available apr 8,townhouse,5,6,1,1,0,0,0,13,126,https://sfbay.craigslist.org/sby/apa/d/2-story-townhome-2-extra/6549526618.html
https://sfbay.craigslist.org/sby/apa/d/2-year-new-single-family-home/6567418689.html,4BR , 2.5Ba,1770ft2,house,5,6,0,0,0,1,0,22,513,https://sfbay.craigslist.org/sby/apa/d/2-year-new-single-family-home/6567418689.html
https://sfbay.craigslist.org/sby/apa/d/2000-move-in-special/6562079876.html,3BR , 2.5Ba,1630ft2,duplex,5,6,0,0,0,1,0,17,136,https://sfbay.craigslist.org/sby/apa/d/2000-move-in-special/6562079876.html
https://sfbay.craigslist.org/sby/apa/d/2250-2br-completely-remodeled/6562019454.html,2BR , 1Ba,800ft2,duplex,5,6,1,1,0,0,0,7,118,https://sfbay.craigslist.org/sby/apa/d/2250-2br-completely-remodeled/6562019454.html
https://sfbay.craigslist.org/sby/apa/d/2295-1br-711ft2-modern-1br/6557091900.html,1BR , 1Ba,711ft2,apartment,2,4,1,1,0,1,0,8,278,https://sfbay.craigslist.org/sby/apa/d/2295-1br-711ft2-modern-1br/6557091900.html
https://sfbay.craigslist.org/sby/apa/d/25-bath-designer-features/6567722547.html,3BR , 2.5Ba,1400ft2,townhouse,5,6,0,0,0,1,0,13,142,https://sfbay.craigslist.org/sby/apa/d/25-bath-designer-features/6567722547.html
https://sfbay.craigslist.org/sby/apa/d/25-bath-townhouse-hw-floors/6562742596.html,3BR , 2.5Ba,1305ft2,condo,3,4,0,0,0,1,0,9,71,https://sfbay.craigslist.org/sby/apa/d/25-bath-townhouse-hw-floors/6562742596.html
https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567400416.html,1BR , 1Ba,643ft2,apartment,5,4,1,0,0,0,0,12,137,https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567400416.html
https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567501550.html,1BR , 1Ba,643ft2,apartment,5,4,1,0,0,0,0,13,137,https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567501550.html
https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567517463.html,1BR , 1Ba,715ft2,apartment,5,4,1,0,0,0,0,14,137,https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567517463.html
https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567744723.html,1BR , 1Ba,715ft2,apartment,5,4,1,0,0,0,0,14,137,https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567744723.html
https://sfbay.craigslist.org/sby/apa/d/2b-2b-luxury-apt-in-mtn-view/6567454922.html,2BR , 2Ba,1152ft2,apartment,5,6,1,1,0,1,0,10,224,https://sfbay.craigslist.org/sby/apa/d/2b-2b-luxury-apt-in-mtn-view/6567454922.html
https://sfbay.craigslist.org/sby/apa/d/2b1b-apartment-ground-floor/6567622706.html,2BR , 2Ba,900ft2,apartment,5,4,1,1,0,1,0,10,291,https://sfbay.craigslist.org/sby/apa/d/2b1b-apartment-ground-floor/6567622706.html
https://sfbay.craigslist.org/sby/apa/d/2b1b-does-your-apartment-have/6567785091.html,2BR , 1Ba,918ft2,apartment,5,0,1,1,0,1,0,21,440,https://sfbay.craigslist.org/sby/apa/d/2b1b-does-your-apartment-have/6567785091.html
https://sfbay.craigslist.org/sby/apa/d/2ba-units-in-clean-quiet-bldg/6567710086.html,2BR , 2Ba,870ft2,apartment,2,4,1,0,0,0,0,21,133,https://sfbay.craigslist.org/sby/apa/d/2ba-units-in-clean-quiet-bldg/6567710086.html
https://sfbay.craigslist.org/sby/apa/d/2bath-fully-furnished-luxury/6567587003.html,2BR , 2Ba,1060ft2,apartment,5,0,0,1,0,0,0,15,203,https://sfbay.craigslist.org/sby/apa/d/2bath-fully-furnished-luxury/6567587003.html
https://sfbay.craigslist.org/sby/apa/d/2bd-1ba-newly-renovated/6567389240.html,2BR , 1Ba,850ft2,apartment,2,4,0,0,0,1,0,17,532,https://sfbay.craigslist.org/sby/apa/d/2bd-1ba-newly-renovated/6567389240.html
https://sfbay.craigslist.org/sby/apa/d/2bd-2bath-santa-clara-condo/6556847870.html,2BR , 2Ba,980ft2,condo,5,4,0,0,0,1,0,13,203,https://sfbay.craigslist.org/sby/apa/d/2bd-2bath-santa-clara-condo/6556847870.html
https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-high-ceiling-pergo/6567685616.html,2BR , 1Ba,1050ft2,apartment,4,4,0,0,0,1,0,6,181,https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-high-ceiling-pergo/6567685616.html
https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-upstairs-high/6567681679.html,2BR , 1Ba,900ft2,apartment,2,4,0,0,0,1,0,6,108,https://sfbay.craigslist.org/sby/apa/d/2bed-1bath-upstairs-high/6567681679.html
https://sfbay.craigslist.org/sby/apa/d/2bed-2bathupstairswalk-to/6567739126.html,2BR , 2Ba,1040ft2,apartment,4,4,0,0,0,1,0,7,87,https://sfbay.craigslist.org/sby/apa/d/2bed-2bathupstairswalk-to/6567739126.html
https://sfbay.craigslist.org/sby/apa/d/2br-1-ba-nice-quiet-pets/6567356960.html,2BR , 1Ba,940ft2,apartment,4,4,1,1,0,1,0,6,336,https://sfbay.craigslist.org/sby/apa/d/2br-1-ba-nice-quiet-pets/6567356960.html
https://sfbay.craigslist.org/sby/apa/d/2br-1ba-apartment-for-lease/6567497665.html,2BR , 1Ba,801ft2,apartment,2,4,1,1,0,1,0,3,190,https://sfbay.craigslist.org/sby/apa/d/2br-1ba-apartment-for-lease/6567497665.html
