,title,link,hood,price,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,region
46,"Corner 4th floor home, Pool View, Sun, Gas Stove, A/C, W/D",https://sfbay.craigslist.org/sby/apa/d/corner-4th-floor-home-pool/6561933151.html,(willow glen / cambrian),2248,1,1.0,731.0,apartment,5,5,1,1,0,1,1,21,651,0
47,Open House This Weekend,https://sfbay.craigslist.org/sby/apa/d/open-house-this-weekend/6567734100.html,(san jose downtown),2645,1,1.0,701.0,apartment,5,6,1,1,0,1,1,6,83,0
48,"2 bed 2 bath Garage Parking, 2 Private Balconies, Washer/Dryer",https://sfbay.craigslist.org/sby/apa/d/2-bed-2-bath-garage-parking-2/6563790397.html,(West San Jose),2795,2,2.0,1052.0,apartment,5,5,1,1,0,1,0,3,121,0
49,"Pet Perfect 1x1: Large Patio, Plank Floors, W/D, AC, Great Location!",https://sfbay.craigslist.org/sby/apa/d/pet-perfect-1x1-large-patio/6567753552.html,(sunnyvale),2907,1,1.0,735.0,apartment,5,4,1,1,0,1,0,11,778,0
50,"Right Around the Corner, Near Everywhere You Want to Be.",https://sfbay.craigslist.org/sby/apa/d/right-around-the-corner-near/6567752866.html,(campbell),1895,1,1.0,550.0,apartment,2,4,0,1,0,1,0,9,323,0
51,Modern Loft in Historic Plant 51 in Downtown San Jose - 1bd/1.5ba,https://sfbay.craigslist.org/sby/apa/d/modern-loft-in-historic-plant/6558627751.html,(san jose downtown),2850,1,1.5,841.0,apartment,5,4,0,0,0,0,0,16,690,0
52,One-of-a-Kind Loft for Rent at Plant 51 in Downtown San Jose,https://sfbay.craigslist.org/sby/apa/d/one-of-kind-loft-for-rent-at/6559215504.html,(san jose downtown),2950,1,1.5,842.0,apartment,5,4,0,0,0,0,0,15,660,0
53,Gorgeous 1 Bedroom Condo @ Ryland Mews,https://sfbay.craigslist.org/sby/apa/d/gorgeous-1-bedroom-condo/6557555821.html,(san jose downtown),2600,1,1.5,1113.0,apartment,5,4,0,0,0,0,0,21,445,0
54,Beautiful Modern One Bedroom Condo at Ryland Mews in Downtown San Jose,https://sfbay.craigslist.org/sby/apa/d/beautiful-modern-one-bedroom/6563979074.html,(san jose downtown),2800,1,1.0,879.0,apartment,5,4,0,0,0,0,0,15,540,0
55,Brand New Home within gated community for rental immediate,https://sfbay.craigslist.org/sby/apa/d/brand-new-home-within-gated/6567746078.html,(gilroy),3700,4,2.5,2656.0,house,3,6,0,0,0,1,0,12,107,0
56,"1 bed x 1 bath, walk to Westgate Mall, Pergo, Granite Counters",https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-walk-to-westgate/6567748662.html,(san jose west),1825,1,1.0,615.0,apartment,4,4,0,0,0,1,0,8,153,0
57,"Upscale interiors, 1BR apt in downtown San Jose, Washer & dryer inside",https://sfbay.craigslist.org/sby/apa/d/upscale-interiors-1br-apt-in/6565828979.html,(san jose downtown),2395,1,1.0,750.0,apartment,5,6,1,0,0,0,0,12,309,0
58,Living at its Best! Tour One Of Our Larger 2x2 Apts Today!,https://sfbay.craigslist.org/sby/apa/d/living-at-its-best-tour-one/6567748185.html,(cupertino),3596,2,2.0,1025.0,apartment,5,4,1,1,0,1,0,6,295,0
59,$500 off 1st month!! 2 bed/1 bath 3rd Floor! Move-in May 19th!,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567403835.html,(milpitas),2725,2,1.0,935.0,apartment,5,4,1,0,0,0,0,7,132,0
60,$500 Off 1st Month!! 2 bed/1 bath Move-in May 19th! 3rd Floor!,https://sfbay.craigslist.org/sby/apa/d/500-off-1st-month-2-bed-1/6567502074.html,(milpitas),2725,2,1.0,935.0,apartment,5,4,1,0,0,0,0,2,132,0
61,"Corner Home with Stainless Steel Appliances and Washer, Dryer Inside",https://sfbay.craigslist.org/sby/apa/d/corner-home-with-stainless/6567745981.html,(santa clara),2677,1,1.0,700.0,apartment,5,4,1,1,0,1,0,9,267,0
62,1/2 OFF 1ST MONTH!! PERFECT LOCATIONS AND GORGEOUS APARTMENT!!!!,https://sfbay.craigslist.org/sby/apa/d/1-2-off-1st-month-perfect/6567745937.html,(san jose west),2350,2,1.0,1100.0,apartment,4,4,0,0,0,0,0,10,226,0
63,$250 Off 1st Month! 1 bed/ 1 bath Move-in May 19th! 3rd Floor!!,https://sfbay.craigslist.org/sby/apa/d/250-off-1st-month-1-bed-1/6567744723.html,(milpitas),2445,1,1.0,715.0,apartment,5,4,1,0,0,0,0,14,137,0
64,Downtown Living - Enjoy 910 Sq. Ft. of Affrordable Luxury Living!,https://sfbay.craigslist.org/sby/apa/d/downtown-living-enjoy-910-sq/6567743058.html,(san jose downtown),2788,1,1.0,910.0,apartment,5,6,1,1,0,1,1,8,251,0
65,REMODELED 3 Bedroom 2 Bathroom.  This is the ONE!,https://sfbay.craigslist.org/sby/apa/d/remodeled-3-bedroom-2/6567724466.html,(San Jose),3100,3,2.0,1200.0,house,3,6,0,0,0,1,0,5,147,0
66,"SFR! Walk 2 Almaden Lake, EZ access Oakridge Mall, 85, 87 light rail",https://sfbay.craigslist.org/sby/apa/d/sfr-walk-2-almaden-lake-ez/6567739679.html,(san jose south),3200,3,2.5,1285.0,house,2,6,0,0,0,1,0,24,207,0
